Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-12 18:00:00,6179.12,6185,6165.22,6173.99,103.57,639670.03,6175.97
2018-07-12 19:00:00,6171.06,6180.17,6150.43,6174.76,148.79,916929.71,6162.66
2018-07-12 20:00:00,6179.38,6187.42,6166.91,6173.05,120.99,747520.42,6178.32
2018-07-12 21:00:00,6170.03,6176.66,6153.52,6171.68,81.22,500729.79,6165.18
2018-07-12 22:00:00,6171.94,6173.61,6110.08,6149.11,309.59,1901284.59,6141.24
2018-07-12 23:00:00,6149.11,6267.31,6072,6243.88,1039.01,6412278.5,6171.54
2018-07-13 00:00:00,6243.53,6284.05,6214.94,6236.88,466.27,2910899.5,6242.95
2018-07-13 01:00:00,6236.88,6249.82,6231.94,6232.71,114.45,714175.12,6240.06
2018-07-13 02:00:00,6232.88,6254.67,6228.76,6242.9,187.3,1168928.22,6240.78
2018-07-13 03:00:00,6242.89,6252.93,6236.55,6249.87,139.55,871611.63,6245.87
2018-07-13 04:00:00,6248.2,6264.75,6236.01,6245.68,219.95,1375165.61,6252.05
